,Reviews
75,"1/18/2016
    

Moved to the San Bruno area and was looking for a new barber. Ran across the good reviews here and stopped by. Was a bit worried as most of the customer images were showing guys with close cropped fades. I shouldn't have been. Had Kevin and the man is an expert. I showed him a pic (41.media.tumblr.com/b461…) and he cut my hair to look almost the same. He did a great fade (mixing scissors and clippers) and textured the top of my hair nicely. Really impressive work and he has a new customer going forward.One additional note--it's cash only"
76,"3/15/2016
    

I have been going to this barbershop exclusively for about 2 years now. I was skeptical at first but after the treatment I received the first time and ever subsequent time I have never been happier. Please make an appointment as they rarely have time for walkins. There is one review here from last year that grills them for denying a customer at 6:15pm and that his cut would only take 15 minutes; well for this place even the simplest of cuts they have taken their time and done the job right, making sure all the lines were straight. You go here for an experience not just an in and out in like 10 minutes sort of thing."
77,"6/10/2016
    

Came in for a beard trim and was evident he was in way over his head.  Keep it long, he cut it short.   At leat it grew back quickly.     And thanks to the guys who tried to run me over out front"
78,"5/21/2015
    

It took me four months after moving to the bay to find a good barber. This place has premium quality barbers. My first time going in I had Kevin who was awesome. He spent the time to explain things about my hair I didn't even know my whole life. He gave me the best cut and fade I'd ever had. He's a true master of his craft. The quality of service here is outstanding and the place is spotless and clean."
79,"2/27/2014
    








23 check-ins
        


I'm so happy I found this place when I moved back to the Bay. I was afraid I wouldn't find a good barber for my hair. Luckily my friend recommended me this place and the rest is history.I get my cut by shorty and he always does a fine job. He knew exactly how to cut my hair and what I wanted. Good service and takes his time too. I highly recommend this place and also you should call in advance to book an appointment. $20 usually a cut sometimes $25, but hey, it's worth it!"
80,"11/26/2017
            





Updated review










52 check-ins
        


I had lost faith in finding a good consistent barber until I was introduced to Tubz. A couple of my good friends had been getting cut by him and after seeing their clean haircuts, I had to try him. I was able to set up an appointment with him about a year ago and I have been going back to him on a weekly basis ever since!The Shop: Tubz started cutting at Tailormade Barbershop a couple months ago.The shop has a very chill vibe. All the barbers seem very friendly and professional. They have four big flat screen TVs, so regardless of where you sit in the shop, you will have some entertainment. Plenty of seating and clean. They do accept walk-ins, but all the barbers are pretty good, so therefore they are booked most the time. I would recommend setting up an appointment. Parking: The majority of parking is 1-hour meter. However, if you turn the corner there are some all day spots and I rarely have trouble finding one.Tubz: This man is an artist and can do it all. Tapers, Fades, Designs, Combovers, Lineups, etc. You name it, he can do it. His attention to detail is is insane! The one thing I love about Tubz is he makes sure his clients get the haircut they are looking for exactly to your liking. I usually get a 1.5 on top, with a bald taper and get my beard cleaned up. I am very picky with my beard, but every time Tubz got me walking out the shop feeling myself! His beard game is . Every now and then I'll have him give me the old school Nas part design and it never disappoints. Tubz is a chill cool dude. My kind of people. I highly recommend Tubz! Trust me






























Tubz always got me feeling myself when I walk out the shop lol BaldTaper #BeardGame


Tubz always got me feeling myself when I walk out the shop lol BaldTaper #BeardGame





                        See all photos from Alexander L. for The Tailormade Barbershop"
81,"10/5/2017
    

I set an appointment and they were really really flexible with the fact that I had school. My assigned barber, I believe it was Chad, was a bit behind on schedule and they were still able to get another one for me, in a very short amount of time! Tubbs was willing to get off his break to give me a cut. Which by the way, for what I requested, it took WAY less time than I thought. I didn't really know what I was doing seen as I don't go out to cut much and so I didn't really know what I wanted: but he got me a sharp hard part, an even fade, and a sick line up. All under 25 minutes and for $35! Definitely recommend. They're friendly, have a comfy couch and an aesthetic shop :)"
82,"3/25/2018
    

This place states walk-ins are welcome, but I was told otherwise! I needed to make an appointment, what a waste of time."
83,"12/27/2017
    

My boy Pete does a great job cutting my hair! He takes his time to give you the the perfect cut you asked for. He used to work at fresh cut and he was the only one available working on a Sunday and he was kind enough to take me, and he's been my barber since. He's a very busy person so  you gotta make that appointment!"
84,"2/2/2018
    

My man Pete always hooks it up with the fresh cut. He always takes me in whenever he has a last minute cancel or opening. You can definitely count on Pete and Tailormade to deliver with dope service and fire style."
85,"3/7/2018
    

I called in today and basically had no idea how to explain what I wanted. Pete basically read my f*cking mind and did it quick. Been trying to get this cut for years. Mf does it right."
86,"1/6/2018
    

Ive always preferred barbers. Tailormade is a nice spot to get my ears lowered. P.G. gave me a bada$$ fade. It was easy to make an appointment and the service is top knotch."
87,"12/20/2017
    

Regarding my last review about Mark, he messaged me separately explaining why he wasn't able to make it to my appointment and I totally understand. Keep up the great work fellas"
88,"12/17/2017
    

This review is for barber, Tubby of Tailormade barber shop. Tubby welcomes every customer with a greeting and never fails to provide assistance to anyone who walks in. Tubby has been cutting my hair close to 6 years now and each haircut is perfect! His passion towards every cut is shown through his work. With being a talented barber, tubby is also knowledgeable with hair products and grooming. Needless to say, i would recommend Tubby to anyone looking for a haircut without hesitation."
89,"12/13/2017
    

This place is great and professional. I've have cuts from barbers Pete and Tubbs. Both super talented and each time supplied great conversations along with a 5 star haircut. Everything you could ask for in a barber shop. The facility is homey as well. Got there a bit early one time and they have a comfy couch and usually some sports playing on the TVs. Good, clean atmosphere. Keep up the good work!"
90,"7/10/2017
    








1 check-in
        


The barbers were very kind and welcoming. They will do you cuts the way you want them, you just have to let them know. Definitely come and check this out! They don't do really do walk-ins, if they do then you're lucky. It's highly best if you call and make an appointment first. They only accept cash.Overall it's a really good place to get a haircut! :)"
91,"12/15/2017
    

This is a spacious and professional barbershop where I've never walked out disappointed. I've been getting cut by the barber Tubbs for quite some time now.Tubbs is super responsive with setting up appointments, which is helpful when trying to plan out the rest of your week. Tubbs will help you figure out a hairstyle you'll be happy with, and not take the easy way out. He's suggested haircuts for me that are more time consuming than my usual buzz cut, which showed me that he's not trying to rush me out out of the shop. All in all, I truly feel respected as a customer/client here and I would recommend anyone to check this spot out. Easily, 5 stars."
92,"5/8/2017
    

Local shop with talented barbers, welcoming to kids. Chad hooked up a nice cut and a design in the fade for my 3 year old. I'll definitely be back with my son and send my hubby in for an old school shave for a special occasion."
93,"4/1/2017
    

Great place, clean, organized, knowledgeable guys, great customer service.Mark is the man he always works with my crazy schedule to accommodate an appointment for me."
94,"11/11/2017
    

We were looking for a babrbershop for my son in the area that was able to do haircuts that arent basic or old fashioned. We saw tailor made and decided to give it a try after looking at photos of customers on google etc. My son got a comb over with a line up and I must say Jay was amazing. My son now will go nowhere else but here to have his haircut. Hes been here three times in the past year to different barbers and just recently had chad cut his hair and we never have been disapointed. We now live in San Jose and make the drive up here just because our son trusts them with his hair! The Lines are clean and they know exactly what they are doing. Thanks guys!"
95,"9/15/2017
    

There's cut and then there's art. Its distinction is clear with tailor made. Luis knows art. Thank you very much. Paul"
96,"12/20/2017
    

Worst most unprofessional made me 20 minutes for an appointment knowing I was ina rush complete shmucks joke of a place lost a customer that rips 40% on good haircuts and comes one time a week"
97,"12/9/2017
    

I had Tubbs as my barber and he was very cool and really professional, the shop itself is clean and tidy. I've tried the top barbershops here in Daly City and I will be going to Tailormade for the rest of my haircuts. Awesome shop, very affordable haircuts, specially because of the quality they produce. I highly recommend this barbershop to anyone, try it and you won't regret it"
98,"7/12/2017
    

Sherm is an extremely talented barber who actually cares what the customer wants. I've been a few times now and I'm impressed each time I go with how consistently good the cuts are."
99,"6/15/2017
    

If you are looking for quality experience, professional haircut this is the place. Alan and his staff always get it right!!!!"
100,"3/2/2018
    








1 check-in
        


I was referred to BGBL by family, 1 year later that's what Rod (my barber) has become. All the barbers are stand up dudes, music is always right whether it's Backstreet Boys, 90's slow jams, Bay Area rap, Trap music etc...Clean environment, kid friendly, plenty of parking.I strongly advise to make an appointment this place is routinely booked obviously because their strength in the craft."
101,"11/9/2017
    

QUALITY WORK. I just moved to SF and was nervous about trying out a new shop like anyone else. I saw the reviews on here, and figured I'd give it a shot. I was not disappointed. I would recommend Black and Gold any day. Kevin took my appointment on short notice, took his time, and gave me the best cut I've had in awhile. I don't have to look any further because Black and Gold is my new spot."
102,"8/16/2017
    








17 check-ins
        


These guy know what they're doing. Nuff said. Honestly a solid shop and solid experience every cut I get. Everyone is welcoming and Mark, who has been my barber for about the past 8 months or so, always knows how to work you in his schedule somehow. Can't say enough about the quality of the cut. These guys are a serious bargain in these parts. I mean you can go into downtown sf and get the same exact cut and they'll charge you $80.I usually get a 1-2 bald fade so I can space out about 2 weeks, and as simple as that sounds, since my hair is a little thinner most barbers don't fade it out correctly. I've been to about 8-9 different barber shops all around the bay (D and R's, Heff's, People's, Nate's, San Mateo Zoo to name a few) and this is the spot that has continually given quality and accuracy on every different cut I've asked for. You the man Mark! Keep grindin! See you in 2 weeks!"
103,"2/14/2018
    

I really enjoy coming into Black & Gold Barber Lounge. All the barbers there are super friendly and welcoming when you walk in. My goto barber there is Kevin aka Kevinjoi aka LaFlare! Great guy and his craft has definitely gotten better and better each time. I would call sometime in the middle of the week and see if he has any openings during the evenings and he always finds time to squeeze me in between his appointments or stays later. Definitely appreciate it! Go to Kevin if you are ever looking for a barber to make you feel good and look good! Best prices in town."
104,"2/17/2018
    

Long overdue review: Rodney has been cutting my hair ever since I returned from the Army 4 years ago. He always does his best to accommodate my crazy inconsistent schedule, and treats me like a brother. Any style I ask him for, he always comes through. I love the atmosphere at the shop. The conversations, the laughs, the music. You'll never get that at Supercuts ‍ just saying.."
105,"5/13/2017
            





Updated review










5 check-ins
        


This is the cleanest barbershops I've ever seen in the mission area, actually in any barbershop my better half has tried or I've walked into. The vibe of the place is soo chill and relaxed. It's also a bunch of guys together, so it being clean is quite surprising to me, no offense.There's a quaint little sitting area and they place music while they work, so it's not one of those awkwardly quiet situations of silence and waiting for girlfriends and those waiting for their cut. I also find it really cute how the guys interact with one another and all sing verses of the songs together. You can really feel their respect for one another, and the genuine friendship they all have.Vic is a great barber -as I'm quite sure the other barbers to a superb job as well. I am super picky with my boyfriend's hair, as I'm the one who sees it the most -with that being said, I have yet to be disappointed with the work Vic's been doing.As the saying goes, ""birds of the same feather, flock together."" As I'm sitting here writing this review, I can't help but observe Jamie and the way he's interacting with his current customer (this little boy). I really admire how he's taking the time to talk to the young boy about his school and etc. Rarely have I seen a barber actually interact with a child and hold conversations without talking down to the kid. So, shoutout to you!The price is average but the cuts are great. I would suggest making an appointment tho, as the guys here really take pride in their work and won't let you step out until you're satisfied."
106,"3/16/2017
    








1 check-in
        


Best barbers in the Bay Area. Ask for Mark. He gave me exactly what I asked for and really knows how to cut."
107,"3/6/2017
            





Updated review










1 check-in
        


For sure the best place in town to have your hair cut done! I've been trying many places and finally I found one that know how to do it.Ps: Sam is the best!"
108,"7/15/2017
    

Great barber shop! Jamie is my usual barber and hooks it up every time. I've had cuts by a few other guys there too and they come with it too. Def my best experience since moving to San Francisco so far."
109,"3/16/2017
    

Dammmm much props to Jaime n the rest of the crew!!! I told Jaime what I want n his on point with my cut NO COMPLAINTS  at All since I know what I want n he delivered.  Excellent customer service and EXCELLENT CUT!!! They make you feel at home go see my boy Jaime he will for sure take care of you!!!"
110,"7/27/2016
    

I just moved to SF from LA and I've been looking for a barber. I tried People's Barbershop in the city and had a terrible experience. I found Black and Gold while I was scrolling through Yelp and I was confident to drive out to try the place. I just got my first cut with Mark and he cut my hair perfectly just the way I wanted it. He didn't rush, he took his time and it was cool to get to know him on a personal level. I'm definitely coming back and it feels good that I finally found a barber."
111,"8/9/2016
    








1 check-in
        


After wasting time & money at another barber shop off Valencia. I called B&G and spoke with a guy named Mike and locked in an appointment.Although I was just driving through SF on my way back to Tx. I had to get cleaned up to get back to work.Sat in Mikes chair and felt like I was home. Mark was super chill and the spot was laid back. Mark BLAZED my hair with a proper taper, freshened up my beard and took a straight edge to line me up and wrap a bow on a great haircut.Great cut, great price, loved this place."
112,"4/21/2015
    

And I will never find another barber more precious than youMore precious than youYou were cutting like my mother,Fading me like no other,Grooming me like my sister,Taking care of me like my brotherYou are the only one my barber king and for you this song I singOn a serious note:Love this shop! The barbers here really make you feel at home and the setup there is super dope. Victor Salvador, one of the barbers at this shop is my go to guy. He always takes his time and pays attention to all the details when cutting my hair. I've known this guy since he was cutting hair for fun in his basement 10 years ago and not only has his barber skills develop drastically over the years but who he is as a person has as well. Every time I'm sitting in his chair we always share some laughter and have meaningful conversations about life. Not only do I look good but feel good after a cut from him. In the before picture of me below was what I was rockin' before I let Victor touch my hair. As you can see in the after picture yo boy can finally go out in public without people laughing at me. 5 stars to a great barbershop with one of my favorite barbers to ever to do it."
113,"5/14/2015
    

I've been a day oner since the B & G Barber Lounge opened ... Very talented staff!  Rodney hooks up my son and myself and Sam handles my youngest. No matter what you need in the way of the proper barber for your needs they got a chair that will flip your wig! Plus the shop has that barber shop talk, jokes, fun and plenty of parking. Make sure to call... They stay busy, make sure to call.








My dude Rodney given my man child that good clean up!


My dude Rodney given my man child that good clean up!"
114,"9/24/2016
    

Had a great time there watching my son get a great haircut. Super nice, talented guys having a great time with their art. And they got us in at last minute on a friday. Five stars all the way. Six stars for the dancing. LOL"
115,"2/10/2015
    








1 check-in
        


My first legit barber experience today with Mark and I was super happy with it! Since I got my side shave I've been wanting to go get something designed but all the nearby shops had sketch reviews. This spot is the perfect balance of chill, hipster, homeboys, and Jagged Edge. Also appreciated that Mark took his time (I didn't know what was possible so he freestyled), you can tell he cares about his art and knows what he's doing. He also was way more gentle then even some salon stylists I been too. So you're welcome ladies (and gents), I just found you your new man!"
116,"3/11/2017
    

This place should be called ""Feel like Cuts"" because obviously they didn't feel like cutting my hair. Scheduled an appointment and barber never showed up. Waited over an hour!!"
117,"2/10/2015
    

Mark is the man! Before I started getting my hair cut from him I used to have my brothers cut my hair. But from now on no one cuts my hair but my professional barber Mark! He's a beast! It's always good talkin shop with this guy. Funny down to earth man. Even if I lived 100 miles away I would still walk, drive, fly, sail, bike, swim, scooter my ass to get a cut from him.  But enough about Mark. All the barbers at black n gold are legit! All cool guys! From kids to male and female whoever they'll get the job done! But you better call a few days in advanced they're so good they get booked quick and you don't want a supercutz cut because you lagged on making an appointment. From fades to combovers to sick designs black and gold got you! Make those appointments!"
118,"1/5/2017
    

I thought this place was gonna be great, especially after reading all the reviews and seeing 5 stars after 5 stars. But Samer really knows how to disappoint. I will never ever come back here again. DO NOT WASTE YOUR TIME OR MONEY WITH SAMER/SAM. He is the worst barber ever."
119,"4/3/2017
    

Coming from LA, this is definitely the best barbershop I've found in the Bay. Make sure you call and set up an appointment and pay for a quality cut. I've been getting cut by Jamie the last couple months and haven't had one complaint."
120,"2/22/2018
    

Looked up a few barber shops on yelp and this one seemed to have the most consistent reviews, so I came in and was not disappointed.  Ken was my barber and was very knowledgeable, and even gave suggestions based on my hair and style.  Prices are competitive with a standard commercial shop, but the experience was more in line with a specialty shop.  I would recommend giving this place a try; great cut, good value, and good conversation.   to Ken for representing this establishment at a 5 Star level."
121,"3/28/2018
    

This place is amazing!!! You get exactly what you ask for.  Good vibes is everything, very knowledgeable staff! Would definitely come back again."
122,"3/8/2018
    

I used to get by Austin from way back in barber school days then to headshots in San Mateo. Took a long hiatus but I get back in every now n then. Been cut by Derrick too. Always all good."
123,"3/16/2018
    

Excellent and consistent quality service for a fair price. I found the shop one day and haven't gone anywhere else since."
124,"3/9/2018
    

Cant say enough about this place its great ! Austin and Derek live up to the name of their shop Richness and Blessing ...Hands down great barbers but not just that great guys , love the vibe and heart of this place and all the barbers(Ken also)..Austins my barber he's fantastic I  always leave feeling great ..."
125,"3/23/2018
    

Missed my flight and had some extra time to get a cut and was lucky enough to find this shop!!! I'm a barber as well so have a lil eye for talent!! All their barbers were on point"
126,"2/22/2018
    








1 check-in
        


took a chance and walked in. sat right into a chair and received an outstanding cut. a hard part with fade. will definitely return in 2-3 weeks. did not catch his name but he works at the first chair."
127,"12/23/2017
    

I work for a group home of teenage boys and I've been searching for the best barbershop in the area for me to take them to. Since we found this place, this is the only place they seem to like coming to. They willingly take walk-ins which is a big thing for my group of boys as they are always on the go with sports and meetings. The man in the first chair, Ken, is always welcoming and respectful. Their customer service is A+ and makes my boys and I want to continue coming back. ""He's really chill"" -as one of the boys describe him. My boys are at the age where their appearance matters. It makes me feel good seeing how much more confident  (and handsome) my youth are after getting their haircut by Ken at R&R barbershop. And yes, he can cut ""black"" hair!! (Inside joke)"
128,"12/30/2017
    

Went there twice got Beard lined up in and faded my side's  on my hair  got a good haircut  Customer service has been good in South city....."
129,"11/3/2017
    

All the barbers at this shop can cut. I've been going to Ken for 10+ years now! Go see him for a fresh cut... Oh yeah, its always good to tip your barber!!!"
130,"12/1/2017
    

There is a great set a guys in here. I came in without an appointment was able to still get some great service. Ken was my barber and he did great work. He listened to what I asked, and gave some advice. I don't usually do reviews but anything I can do to help these guys stay local."
131,"5/30/2017
    

Very cool guys and definitely reputable barbers. Came in as a walk in and Derrick accepted me. Asked for a simple 1 and a half bald fade and he delivered. Great price and will be back.








1 and a half fade with untouched beard. = Bars by Derrick


1 and a half fade with untouched beard. = Bars by Derrick"
132,"9/20/2017
    

So happy for Derrick and Austin on opening there own shop. Personally I have gotten cut by both, and both do an amazing job on their craft. Other than their skill to make you look ""fly"" for any occasion, both of their personalities blend together to set up a comfortable atmosphere in the shop. I have been getting cut by Derrick for the past 3 years now and have not been disappoint. I highly recommend R&B BARBERSHOP!"
133,"5/25/2017
    

Very Nice haircut！Walk-in and wait for about 10 minutes，they did great job！Will come here next time！"
134,"5/13/2017
    

My barber couldn't come through so I tried these guys out and I couldn't believe the attention to detail. Not my usual barber but these dudes do a great job. Walk ins on Wednesdays and Saturday. The barber was on point just can't remember what he said his name was? (Chair by the window.) I will be back again as you saved me from horrible pictures at a wedding hahaha.








Fresh cut


Fresh cut"
135,"4/1/2017
    

Want to get what you paid for? Come here to R&B Barbershop, hard working guys here early on the weekends to get YOU ready for your weekend, hang out with Derrick and Austin, and chill, be patient if you're coming early Saturday, cause people are always waiting for their turn, otherwise set up an appointment.








Derrick hard at work at 7 in the morning


Derrick hard at work at 7 in the morning"
136,"12/21/2016
    

Place sucks. I call the guy, he tells me they are busy I begged told him I'll pay him twice the price so he says come through. I sit on the chair, the guys gets a call on speaker scheduling people for later that day. I'm like wth this guys was acting like he was packed on the phone now he's taking down appointments for the day? Then I explain to him that I coil my hair from right to left and my sides I like faded. He literally fades my sides with 2 most obvious drops and doesn't even touch the top of my head. I explained to him that my hair was un even and if he could trim one side a bit more he acted like it was the first time he ever heard that. Then after 5 minutes of explaining his partner finally explained to him and he half assed it for 1/2 a minute then handed me the motor. Also through his phone call he asks me beard on or off, I said off. Too busy talking so he didn't even touch it. I figured the guy just wanted to send me on my way. My hair will grow back.. but my one star review will stay :) FYI his price is $25 I handed him $60 told him Merry Christmas and left. Never again."
137,"11/30/2016
    

Great establishment ran by individuals with good moral values. Both barbers are attentive to details and really execute your requested hairstyle flawlessly. I've been coming to get my haircut by both of these barbers (Austin & Derrick) for awhile and I did not contemplate going anywhere else once they opened their own barbershop 15 miles  away from my house. They say you should always have one good barber, I am fortunate to have two. Another cool aspect about this shop is, every Wednesday they only take walk ins so there is no need to schedule an appointment. I definitely recommend this shop for anyone looking for a new barber."
138,"9/27/2017
    

Friendly environment and barber's. Got a great cut on their walk-in Wednesday. Will be coming back!"
139,"5/12/2017
    

I've been getting cut but Derrick for years. I followed him from San mateo to his new shop. I would not let anyone touch my head besides him. Austin would be my back up for sure, he also has bars but Derrick is my guy. Definitely a friendly environment, they alway shave debates about sports or stuff that going on with our lives. Just make sure you get a appointment and your straight"
140,"11/4/2017
    

Jordan is fantastic. I showed him a picture of the look I was going for & he did it with perfection! I've just moved to the Bay area & have been here for a little over a month. Jordan is my barber from now on. Perfect fade & looks sharp."
141,"3/4/2017
    

Good cut, best price, excellent service. I'm very happy to find this diamond in the rough. Don't bother with the glitzy barbershops. They're overpriced. ASK FOR JORDAN. He is fast and thorough."
142,"3/26/2017
    

I recently moved to Millbrae after living in the East Bay my entire life and I thought finding a barber here would be a nightmare. Luckily I stumbled upon Fine Line while on Yelp and decided to give them a shot. I haven't looked back since, Jordan has been a true blessing. I have extremely sensitive skin around my neck/beard area which could get a bit difficult for barbers to cut through without causing irritation. Jordan takes his time with his craft and has great attention to detail which leaves me looking so fresh and so clean every time. Appreciate you Jordan!"
143,"4/29/2017
    

No frills locale barbershop, worth the trip from my area in San Mateo. Got probably one of my best fades since moving here from NY for a decent price compared to other cuts I've gotten. Got referred here by a friend and Nate hooked me up on a last minute phone call. Will most likely be coming back!"
144,"1/29/2017
    

Good barbers, good service. I've tried so many barber shops in the city, and this is my favorite right now."
145,"1/5/2017
    

This is a really cool spot. Really hard to find a barbershop that's affordable and does a great job. Far removed from all the yuppies in DT SF, which makes it even better. No $40.00 haircut here with a PBJ, just a straight up real barbershop that offers clean cuts. Jordan does a great job. Idk the other barber's name, but I've seen him do great work as well. Also open 7 days a week!! Hit this place up. Appointments only."
146,"9/8/2016
    

My barber was Nate.  He's an up-and-coming barber.  Very polite and detailed in his work.  Highly recommended spot!"
147,"12/4/2015
    

Made an appointment 3 days before. I get there, and the barber is not there. Another guy walks in and turns out he's there at the same time for an appointment with the same barber.The barber double-booked us, and wasn't even there. It would be nice to have some bit of professionalism and customer respect."
148,"5/13/2017
    

Fine Line! Lives to the name. First time there and Jordan was a great worker and made sure every detail was right. They take care into your hair. Place is smaller than expected, but the good vibes, music, and people will have me coming a lot more"
149,"11/29/2015
    








1 check-in
        


Austin is the man. I have been going here since junior year in high school and now I'm a sophomore in college. He pays close attention to detail and takes his time."
150,"4/19/2017
    








2 check-ins
        


Great place!! Came recommended by a friend. Richie is awesome. Before I came here, I'd leave feeing just ok about my haircuts. Since coming here, I really like my haircuts! It was so good, I brought my son to get his hair cut here. This is our new place to go!!"
151,"9/1/2015
    

A.D's been cutting my hair. Always does a great job. He's chill too. Killing it for a young guy in the barber game.I've officially found a barber who I can just sit in the chair and leave exactly how I was expecting my hair to be."
152,"10/11/2015
    








1 check-in
        


Stylish, fresh, and affordable haircuts are rarer than apartments in the city with free parking.  Whats even rarer is a Barber/Artist who is as meticulous as Pete.Pete is a master of his craft and alongside your haircut will provide you with hilarious stories, sporting updates, and even Netflix recommendations.Sometimes you have to spoil yourself...an outstanding haircut is a great way to start."
153,"8/11/2016
    

Be sure to hit up Jordan! He took his time and did a great job with my hair ! Would recommend this place to anyone looking to get a clean cut !"
154,"6/12/2015
    

I work in the woods and havent had a chance to post this review but I just wanted to say, this place is run and owned by some good and genuine people. This is a shout out to my barber Nelly. My first interaction with Nelly was actually on the phone. Even though he was booked with appointments and couldn't cut my hair he went out of the way to connect me with his old barber college in Daily City. He made sure I was in good hands and I had a fantastic cut from the barber college. Fast forward several months later, I had the privilege of seeing Nelly in person. He's professional, down to earth and I have so much respect for his art. The way he trims, his dedication and how he integrates his style was apparent in my cut. Now, my hair isn't easy. I got some thick Asian hair with two hair whorls but Nelly managed to do an excellent job event though we went over time. He's a great person to get to know, very approachable, and appreciated how much dedication he put into my hair. Cutting hair is not easy and Nelly did such a fantastic job with my crazy ass hair and couldn't have asked for anything more. Thank you so much Nelly, looking forward to seeing you again. Keep doing you and your art. Peace"
155,"3/4/2016
    

My barber is Pete. Great guy, does great work really takes his time to make sure you are getting the cut you want. He will even give his recommendations based on how your hair is, give you advice or show you how to overcome some kind of hair issue. He is also an entertaining guy with personality and character. I feel like the barbershop would be dull without him. Pete still keeps it professional, always answers back when I text him about appointments. When you go to fine line ask for him first."
156,"2/2/2016
    

Took me a while to find a good barber shop in the hood.  I finally found one.  There are others but Fineline is bar none.  Friendly and professional service.  Been coming here for a while now.  All the folks at FineLine are super legit.  Pete usually hooks me up with a nice fade and taper.  Austin and A.D. are there also and cut you up with the freshness.  These cats are always busy.  Better call and make an appointment.  Without one you'll be waiting a while.  The conversation, music and cuts here are always good, can't go wrong."
157,"12/1/2014
    

I was in need of a last minute cut. Came in asked if they do walk ins and he said no but his earliest available appointment was at 4:00 and it was 12:00 so I said oh yeah I'd come back. He took my name and number and shook my hand. I was like wow very professional!Came back and he was ready. The seats are really comfortable! I was able to find out so much about the barber in only 50mins because that's how long it took. His name was Pete. Really friendly and great with clippers.I was expecting the cost to be like $25-30 but he said only $20 so it was reasonable.I would defiantly come back to Pete and the shop only because he really made me feel welcomed and comfortable."
158,"7/26/2015
    

No words can explain how awesome they cut hair. My barber pete has true craftsmanship when it comes to hair. He is good with scissors and sheers!!! Great guy and does a great haircut. I will be making him my permanent barber. Thanks pete!








Awesome!!!


Awesome!!!"
159,"11/18/2015
    








1 check-in
        


Met Austin through some mutual friends and he was very good at describing how the barbershop is and the prices. I've been looking for a good barber to take my homies to that come from out of town and I'm glad I have a recommendation now! :)"
160,"7/7/2017
    

Husband and son went in for a haircuts with Sushi! I am very happy with his work. One of the best cuts my son has ever gotten. We have gotten a bunch of compliments. It's a clean cut. Will definitely be back and will be recommending friends and family."
161,"12/11/2017
    

I heard good things about this barbershop so I decided to walk in on Monday afternoon. There was one Barber working on a fade that took 45 minutes. After it was done I got in the chair and he asked if I had an appointment and proceeded to tell me 'tough luck' because I wasn't 'alan' and that I needed an appointment. I politely said nobody told me when I walked in and was waiting for almost an hour that I needed an appointment. They didn't even apologize or offer to cut my hair. Worst experience at a barbershop in the Bay Area by far. Do not go here."
162,"11/19/2017
    

I came here with a specific haircut in mind and showed the barber exactly what I wanted (It was a picture of me from a previous haircut) he said he could do it. Halfway through the haircut, I realise he has completely shaved off my side burns and given me a taper at the back, none of which I asked for. The final haircut was nothing like the picture and I am very unhappy with it. I would not recommend this place if you have something specific in mind because they just gave me whatever they felt like."
163,"5/10/2017
    

Henry did a good job !!! Finally found my barbershop in the area.. very low key place and very affordable.. you will definetly going to give good tip because you can really tell that they are very proud of their work.. highly recommended for people who are looking for quality haircut in a very nice price.. street parking but easy to find one.."
164,"3/3/2017
    

Went in for a cut one night and was squeezed in for a good fade. Called 2 weeks later got an appointment for 11 am. Was texted at 8pm the night before to show up at 12 noon. No big deal. Showed up at 12 waited a half an hour and barber still hadn't shown despite me texting and he saying he's on his way. Would not recommend."
165,"8/7/2015
    

I came here about two weeks ago. I told the guy very clearly, I DO NOT WANT TO COMB MY HAIR. After an hour of listening about weed and lifting, the guy hands me a mirror and says you're going to have to comb your hair. Then he tells me the cost is 25 USD. I left with no tip. When I got out one of their neighbors was blocking my car. I left looking like Robin from the Batman Animated Series from the 90's with a horrible line up. Come here if you want potheads that don't know how to take instructions to cut your hair. I wish I could give negative stars. P.S. They play tacky hip hop."
166,"9/2/2014
    








First to Review
        


CityFades is legit..S/O to Henry for resurrecting a god one time! FYI I think the shop stays busy, so it might be better to call ahead and set up an appointment. The other barbers Kris & Sushi had lines out the door when I was there.P.S: The shop is connected to a shoe store, ask for Randy, he sold me a pair of gammas for retail!!!!!"
167,"7/15/2016
    

If I can give 0 stars I would. Everyone here that's given them 5 stars are all friends of theirs. You can tell by how they wrote their review. I called early in the day to make an appointment. More like the morning. The guy ""San"" or ""sam"" w.e... made an appointment for 5pm. I get there at 450pm. I wait about until 520pm just cuz all the barbers were cutting hair still when I got in. So when the time comes for me to ask... why is it taking so long. I had an appointment at 5pm. And ""San"" tells me to come back in a couple of hours. WTF. and I asked why and he tells me two other guys are in front of me. And I was waiting there longer than all the other people that came in after. Super unprofessional.  Don't accept and make an appointment if your going to tell them to come back in a couple of hours. Overall. Ima stick with the cutlery. They are professional and they do get upset if the clients are late. Vs city fades that tells you to come back in a couple of hours from your appointment. And all they talked about was Weed and I heard one of em asking for CHP. Yep. This is probably one of the first few of many 1 stars to come to this business. The guy gave me his card also as I left. I threw the weak ass card away right when I stepped out of the barbershop."
168,"5/12/2016
    

Jason did a great job on my hair, tapered in the back, combed over with gel, lined up my beard, and trimmed the top for a better price than any other barbershop in the area.  Highly recommend these guys."
169,"10/14/2014
    








2 check-ins
        


Great barbershop best in Daly City. I've got cut by all the barbers in there and always left satified. All friendly. Check out 4th quarter in the back of the shop they got some good deals on kicks and clothing. Shoutout to cityfades and 4th quarter.








Bard up by kristian


Bard up by kristian"
